! Data file for `s8els.mos'

DEMAND:    [ 2  3  5  3  4  2  5  4  1  3  4  2  3  5  2  3  1  2  3  5  
             3  1  2  3  5  3  1  2  3  3  4  5  1  4  1  3  1  2  3  3  
             3  5  2  1  2  1  3  3  5  2  2  1  3  2  3  4  2  5  4  1  
             2  2  1  3  2  1  2  2  3  3  2  2  3  1  2  3  2  1  2  1]

SETUPCOST: [17 14 11  6  9  6 15 10  8  7 12  9 10  8 12  6 10 12  7  9]

PRODCOST:  [ 5  3  2  1  3  1  4  3  2  2  3  1  2  3  2  3  3  2  2  1  
             1  4  2  3  1  3  1  2  3  3  3  4  4  2  2  4  2  3  1  3  
             3  3  3  4  4  3  3  3  2  2  1  1  3  3  3  2  2  3  3  3 
             2  2  2  3  3  3  4  4  4  3  3  2  2  2  3  3  3  4  4  3]

CAP:       [12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12]

